@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 71\n','Number of leaves: 82\nSize of the tree: 91\n','Number of leaves: 73\nSize of the tree: 81\n','Number of leaves: 55\nSize of the tree: 61\n','Number of leaves: 91\nSize of the tree: 101\n','Number of leaves: 100\nSize of the tree: 111\n','Number of leaves: 109\nSize of the tree: 121\n','Number of leaves: 118\nSize of the tree: 131\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 21\nSize of the tree: 41\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,14,7,0,66.666667,33.333333,0,0.525806,0.114537,0.254065,53.843633,77.886169,46.480972,22.928367,23.552604,2.21338,1.091827,1.121553,25.064767,1.19356,53.924791,0.714286,5,0.214286,3,0.785714,11,0.285714,2,0.625,0.714286,0.666667,0.485363,0.831633,0.582143,0.666667,0.150794,0.849206,0.333333,?,0.666667,?,?,0.88536,0.697306,?,0.666667,0.001,0,0,0,0,0,32869,26180,7432,100,34.693878,'Number of leaves: 82\nSize of the tree: 91\n',91,82,82
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,15,7,0,68.181818,31.818182,0,0.553623,0.134187,0.272931,63.402792,84.150145,48.002519,2168.089873,-2120.087354,2.181933,98.54954,-96.367607,24.253956,1.102453,50.526423,0.857143,6,0.266667,4,0.733333,11,0.142857,1,0.6,0.857143,0.705882,0.55234,0.761905,0.580952,0.681818,0.143974,0.856026,0.318182,?,0.681818,?,?,0.787922,0.642654,?,0.681818,0.001,0.001,0,0,0,0,29985,26071,7541,90.909091,33.116883,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,8,14,0,36.363636,63.636364,0,0.107246,0.185652,0.350596,87.342354,107.574693,49.182986,6464.639373,-6415.456387,2.23559,293.847244,-291.611654,10.949587,0.497709,22.262957,0.714286,5,0.466667,7,0.533333,8,0.285714,2,0.416667,0.714286,0.526316,0.231626,0.766667,0.601648,0.363636,0.263636,0.736364,0.636364,?,0.363636,?,?,0.613528,0.406998,?,0.363636,0.003,0,0,0,0,0,32869,26071,7541,72.727273,35.714286,'Number of leaves: 82\nSize of the tree: 91\n',91,82,82
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,12,10,0,54.545455,45.454545,0,0.385475,0.150277,0.299879,69.905818,90.857868,50.496248,3242.629831,-3192.133583,2.295284,147.392265,-145.096981,24.592432,1.117838,48.701504,0.714286,5,0.333333,5,0.666667,10,0.285714,2,0.5,0.714286,0.588235,0.356348,0.642857,0.448052,0.545455,0.176407,0.823593,0.454545,?,0.545455,?,?,0.75,0.564793,?,0.545455,0.002,0,0,0,0,0,29985,26071,7541,86.363636,32.467532,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,192,22,15,7,0,68.181818,31.818182,0,0.563739,0.130355,0.257945,60.638503,78.152796,50.496248,24.805452,25.690796,2.295284,1.127521,1.167763,26.841537,1.22007,53.155508,0.857143,6,0.2,3,0.8,12,0.142857,1,0.666667,0.857143,0.75,0.622532,0.814286,0.573469,0.681818,0.115152,0.884848,0.318182,?,0.681818,?,?,0.88218,0.634416,?,0.681818,0.002,0.001,0.01,0,10,0,24217,26071,7541,100,37.662338,'Number of leaves: 55\nSize of the tree: 61\n',61,55,55
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,11,10,0,52.380952,47.619048,0,0.339623,0.14931,0.307768,70.190659,94.349282,46.480972,2172.98229,-2126.501318,2.21338,103.475347,-101.261968,19.286854,0.918422,41.494086,0.571429,4,0.357143,5,0.642857,9,0.428571,3,0.444444,0.571429,0.5,0.204124,0.653061,0.427747,0.52381,0.216667,0.783333,0.47619,?,0.52381,?,?,0.732116,0.516524,?,0.52381,0.002,0,0,0,0,0,29985,26180,7432,85.714286,34.693878,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,14,7,0,66.666667,33.333333,0,0.53481,0.137277,0.275934,64.533938,84.59026,46.480972,1099.388233,-1052.907262,2.21338,52.351821,-50.138441,20.97451,0.998786,45.124939,1,7,0.357143,5,0.642857,9,0,0,0.583333,1,0.736842,0.612372,0.811224,0.630952,0.666667,0.129365,0.870635,0.333333,?,0.666667,?,?,0.775443,0.602978,?,0.666667,0.003,0,0.01,0,10,0,29985,26180,7432,95.238095,36.734694,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,12,9,0,57.142857,42.857143,0,0.384365,0.1362,0.291086,65.004544,90.773508,44.430294,2168.855312,-2124.425018,2.115728,103.278824,-101.163096,21.404908,1.019281,48.176382,0.714286,5,0.357143,5,0.642857,9,0.285714,2,0.5,0.714286,0.588235,0.3371,0.688776,0.452381,0.571429,0.209341,0.790659,0.428571,?,0.571429,?,?,0.754297,0.580628,?,0.571429,0.002,0,0.01,0,10,0,35753,26180,7432,90.47619,31.972789,'Number of leaves: 91\nSize of the tree: 101\n',101,91,91
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,12,9,0,57.142857,42.857143,0,0.384365,0.129989,0.303055,62.039995,94.506145,44.430294,2170.30186,-2125.871566,2.115728,103.347708,-101.231979,20.939954,0.997141,47.129902,0.571429,4,0.214286,3,0.785714,11,0.428571,3,0.571429,0.571429,0.571429,0.357143,0.780612,0.570238,0.571429,0.198962,0.801038,0.428571,?,0.571429,?,?,0.775375,0.573621,?,0.571429,0.002,0,0,0,0,0,29985,26180,7432,90.47619,29.931973,'Number of leaves: 73\nSize of the tree: 81\n',81,73,73
Glass-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191005.0053,193,21,12,9,0,57.142857,42.857143,0,0.378289,0.146089,0.319481,69.724171,99.62826,44.430294,4313.440209,-4269.009915,2.115728,205.401915,-203.286186,16.078904,0.765662,36.189055,0.714286,5,0.285714,4,0.714286,10,0.285714,2,0.555556,0.714286,0.625,0.408248,0.755102,0.595238,0.571429,0.193468,0.806532,0.428571,?,0.571429,?,?,0.725419,0.525454,?,0.571429,0.002,0,0,0,0,0,32869,26180,7432,80.952381,28.571429,'Number of leaves: 82\nSize of the tree: 91\n',91,82,82
